# GraphEngine System Export
# Generated: 2025-11-27T15:30:00.000Z
# System ID: GraphEngine.SY.001
# Workspace ID: demo-workspace
# Nodes: 184
# Edges: 412
#
# Format: Format E (Token-Efficient Serialization)
# File Extension: .txt (universal editor compatibility)
#
## Nodes
GraphEngine|SYS|GraphEngine.SY.001|TypeScript graph engine for systems engineering with LLM integration, Format-E serialization, and multi-view visualization [x:0,y:0,zoom:L2]
LLMIntegration|FUNC|LLMIntegration.FN.001|LLM integration block: prompt building, streaming, response parsing, caching [x:0,y:0,zoom:L2]
CanvasManagement|FUNC|CanvasManagement.FN.002|Canvas state management block: graph/chat state, diff processing, dirty tracking [x:0,y:0,zoom:L2]
GraphVisualization|FUNC|GraphVisualization.FN.003|Graph visualization block: layout algorithms, view filtering, rendering [x:0,y:0,zoom:L2]
DataPersistence|FUNC|DataPersistence.FN.004|Data persistence block: Neo4j operations, session management, audit logging [x:0,y:0,zoom:L2]
TerminalInterface|FUNC|TerminalInterface.FN.005|Terminal UI block: chat interface, graph viewer, user input handling [x:0,y:0,zoom:L2]
DefineSystemViaChat|UC|DefineSystemViaChat.UC.001|User defines complex systems through natural language conversation with LLM guidance [x:0,y:0,zoom:L2]
VisualizeMultipleViews|UC|VisualizeMultipleViews.UC.001|Switch between 5 specialized SE views: hierarchy, functional-flow, requirements, allocation, architecture [x:0,y:0,zoom:L2]
LLMGuidedModeling|UC|LLMGuidedModeling.UC.001|LLM guides user through SE methodology (INCOSE/SysML 2.0) with clarifying questions [x:0,y:0,zoom:L2]
AutoDeriveStructures|UC|AutoDeriveStructures.UC.001|LLM automatically derives UC->FUNC, REQ->TEST, FUNC->FLOW relationships [x:0,y:0,zoom:L2]
ValidateOntology|UC|ValidateOntology.UC.001|LLM validates graph against ontology rules and suggests fixes [x:0,y:0,zoom:L2]
CollaborateMultiUser|UC|CollaborateMultiUser.UC.001|Multiple users edit same workspace with real-time WebSocket synchronization [x:0,y:0,zoom:L2]
PersistAndRecover|UC|PersistAndRecover.UC.001|Auto-save to Neo4j, recover from crash, audit logging [x:0,y:0,zoom:L2]
StreamLLMResponses|UC|StreamLLMResponses.UC.001|Real-time token-by-token streaming of LLM responses with operation extraction [x:0,y:0,zoom:L2]
ManageGraphState|UC|ManageGraphState.UC.001|Canvas manages working state with dirty tracking and persistence strategy [x:0,y:0,zoom:L2]
SyncTerminalViews|UC|SyncTerminalViews.UC.001|4-terminal architecture with WebSocket synchronization [x:0,y:0,zoom:L2]
LoadGraphFromNeo4j|UC|LoadGraphFromNeo4j.UC.001|Load graph on session start from Neo4j persistence layer [x:0,y:0,zoom:L2]
ApplyIncrementalDiff|UC|ApplyIncrementalDiff.UC.001|Apply Format-E diff operations to canvas state incrementally [x:0,y:0,zoom:L2]
